Station,Language,Date,Time,URL_audio,URL_text,audio_file,pdf_file,audio_dur
jalandhar,punjabi,2025-06-19,1310,https://www.newsonair.gov.in/wp-content/uploads/2025/06/jalander-1310-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/jakander-1310.pdf,../data/raw/audio/punjabi_jalandhar_2025-06-19_1310.mp3,../data/raw/text/punjabi_jalandhar_2025-06-19_1310.pdf,5.03
jammu,dogri,2025-06-19,920,https://www.newsonair.gov.in/wp-content/uploads/2025/06/jamu-920-8.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/dogri-920.pdf,../data/raw/audio/dogri_jammu_2025-06-19_920.mp3,../data/raw/text/dogri_jammu_2025-06-19_920.pdf,10.57
jammu,gojri,2025-06-19,1015,https://www.newsonair.gov.in/wp-content/uploads/2025/06/AUDIO-OF-MORNING-GOJRI-1015.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/goj-1015-6.pdf,../data/raw/audio/gojri_jammu_2025-06-19_1015.mp3,../data/raw/text/gojri_jammu_2025-06-19_1015.pdf,5.08
kohima,english,2025-06-19,730,https://www.newsonair.gov.in/wp-content/uploads/2025/06/kohim-eng-730.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/kohiasd-en-07320.pdf,../data/raw/audio/english_kohima_2025-06-19_730.mp3,../data/raw/text/english_kohima_2025-06-19_730.pdf,5.67
kolkata,bengali,2025-06-19,735,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Kolkata-2.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bngali-735-6.pdf,../data/raw/audio/bengali_kolkata_2025-06-19_735.mp3,../data/raw/text/bengali_kolkata_2025-06-19_735.pdf,10.25
kurseong,nepali,2025-06-19,725,https://www.newsonair.gov.in/wp-content/uploads/2025/06/kursong-0725.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/kurdong-0725.pdf,../data/raw/audio/nepali_kurseong_2025-06-19_725.mp3,../data/raw/text/nepali_kurseong_2025-06-19_725.pdf,9.94
lucknow,hindi,2025-06-19,1920,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Luck-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Luck-4.pdf,../data/raw/audio/hindi_lucknow_2025-06-19_1920.mp3,../data/raw/text/hindi_lucknow_2025-06-19_1920.pdf,11.04
mumbai,marathi,2025-06-19,1500,https://www.newsonair.gov.in/wp-content/uploads/2025/06/mummmm1500-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/mum1500-10.pdf,../data/raw/audio/marathi_mumbai_2025-06-19_1500.mp3,../data/raw/text/marathi_mumbai_2025-06-19_1500.pdf,10.49
nagpur,marathi,2025-06-19,1800,https://www.newsonair.gov.in/wp-content/uploads/2025/06/nagpur-9.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/nagur.pdf,../data/raw/audio/marathi_nagpur_2025-06-19_1800.mp3,../data/raw/text/marathi_nagpur_2025-06-19_1800.pdf,9.88
panaji,konkani,2025-06-19,725,https://www.newsonair.gov.in/wp-content/uploads/2025/06/paanji-0725.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/panaji-725.pdf,../data/raw/audio/konkani_panaji_2025-06-19_725.mp3,../data/raw/text/konkani_panaji_2025-06-19_725.pdf,5.43
patna,hindi,2025-06-19,848,https://www.newsonair.gov.in/wp-content/uploads/2025/06/patna-848.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ptna-848-10.pdf,../data/raw/audio/hindi_patna_2025-06-19_848.mp3,../data/raw/text/hindi_patna_2025-06-19_848.pdf,13.86
patna,maithili,2025-06-19,1825,https://www.newsonair.gov.in/wp-content/uploads/2025/06/maithili-5.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/maithili-4.pdf,../data/raw/audio/maithili_patna_2025-06-19_1825.mp3,../data/raw/text/maithili_patna_2025-06-19_1825.pdf,5.48
pudducherry,tamil,2025-06-19,1810,https://www.newsonair.gov.in/wp-content/uploads/2025/06/tamil1810.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/tamil1810.pdf,../data/raw/audio/tamil_pudducherry_2025-06-19_1810.mp3,../data/raw/text/tamil_pudducherry_2025-06-19_1810.pdf,10.02
pune,marathi,2025-06-19,710,https://www.newsonair.gov.in/wp-content/uploads/2025/06/pune-710-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/pune-710-4.pdf,../data/raw/audio/marathi_pune_2025-06-19_710.mp3,../data/raw/text/marathi_pune_2025-06-19_710.pdf,10.16
raipur,chhattisgarh,2025-06-19,1810,https://www.newsonair.gov.in/wp-content/uploads/2025/06/raipur-1810-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/raipur-1810-4.pdf,../data/raw/audio/chhattisgarh_raipur_2025-06-19_1810.mp3,../data/raw/text/chhattisgarh_raipur_2025-06-19_1810.pdf,9.28
raipur,hindi,2025-06-19,1845,https://www.newsonair.gov.in/wp-content/uploads/2025/06/raipur-hindi-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/raipur-hindi-6.pdf,../data/raw/audio/hindi_raipur_2025-06-19_1845.mp3,../data/raw/text/hindi_raipur_2025-06-19_1845.pdf,10.23
ranchi,hindi,2025-06-19,830,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ranchi-830.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/rac-830-5.pdf,../data/raw/audio/hindi_ranchi_2025-06-19_830.mp3,../data/raw/text/hindi_ranchi_2025-06-19_830.pdf,10.4
sambalpur,sambalpuri,2025-06-19,647,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Sambalpur-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Sambalpur-4.pdf,../data/raw/audio/sambalpuri_sambalpur_2025-06-19_647.mp3,../data/raw/text/sambalpuri_sambalpur_2025-06-19_647.pdf,5.28
shillong,english,2025-06-19,830,https://www.newsonair.gov.in/wp-content/uploads/2025/06/sillong-0730.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Sillong-0830.pdf,../data/raw/audio/english_shillong_2025-06-19_830.mp3,../data/raw/text/english_shillong_2025-06-19_830.pdf,5.46
shimla,hindi,2025-06-19,920,https://www.newsonair.gov.in/wp-content/uploads/2025/06/shimla-920-5.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/shimla-920-8.pdf,../data/raw/audio/hindi_shimla_2025-06-19_920.mp3,../data/raw/text/hindi_shimla_2025-06-19_920.pdf,5.09
silchar,bengali,2025-06-19,735,https://www.newsonair.gov.in/wp-content/uploads/2025/06/sil-735-8.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/sil-735-5.pdf,../data/raw/audio/bengali_silchar_2025-06-19_735.mp3,../data/raw/text/bengali_silchar_2025-06-19_735.pdf,5.85
srinagar,urdu,2025-06-19,925,https://www.newsonair.gov.in/wp-content/uploads/2025/06/urdu-0925-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/sri-925-2.pdf,../data/raw/audio/urdu_srinagar_2025-06-19_925.mp3,../data/raw/text/urdu_srinagar_2025-06-19_925.pdf,5.16
thiruvananthapuram,malayalam,2025-06-19,1230,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ttmm-12.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ttmm-12-1.pdf,../data/raw/audio/malayalam_thiruvananthapuram_2025-06-19_1230.mp3,../data/raw/text/malayalam_thiruvananthapuram_2025-06-19_1230.pdf,9.84
tiruchirapalli,tamil,2025-06-19,1345,https://www.newsonair.gov.in/wp-content/uploads/2025/06/trichhy-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/trichhy-4.pdf,../data/raw/audio/tamil_tiruchirapalli_2025-06-19_1345.mp3,../data/raw/text/tamil_tiruchirapalli_2025-06-19_1345.pdf,10.09
vijayawada,telugu,2025-06-19,645,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Vijayawada-2.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Vijayawada-re.pdf,../data/raw/audio/telugu_vijayawada_2025-06-19_645.mp3,../data/raw/text/telugu_vijayawada_2025-06-19_645.pdf,9.22
visakhapatnam,telugu,2025-06-19,1810,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bb.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Visakhapatnam-4.pdf,../data/raw/audio/telugu_visakhapatnam_2025-06-19_1810.mp3,../data/raw/text/telugu_visakhapatnam_2025-06-19_1810.pdf,9.68
agartala,bengali,2025-06-23,735,https://www.newsonair.gov.in/wp-content/uploads/2025/06/agartalaben-11.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/agartala-12.pdf,../data/raw/audio/bengali_agartala_2025-06-23_735.mp3,../data/raw/text/bengali_agartala_2025-06-23_735.pdf,4.9
ahmedabad,gujarati,2025-06-23,710,https://www.newsonair.gov.in/wp-content/uploads/2025/06/guj-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ahe-14.pdf,../data/raw/audio/gujarati_ahmedabad_2025-06-23_710.mp3,../data/raw/text/gujarati_ahmedabad_2025-06-23_710.pdf,9.59
